                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50862,                0.36714,                0.87182,                0.86782,                0.87678,                0.90055,                0.72385,                 0.6944,                0.57332,                 1.0038,              0.0091585,              0.0091585,              0.0091585
                     36,                0.50087,                0.36602,                0.87312,                0.84201,                 0.8673,                0.90316,                0.72123,                 0.6854,                0.55216,                 1.0089,              0.0091337,              0.0091337,              0.0091337
                     37,                0.50633,                0.36723,                0.87363,                0.85522,                0.88183,                0.89405,                0.70089,                0.67274,                0.57185,                  1.017,               0.009109,               0.009109,               0.009109
                     38,                0.49738,                0.35999,                0.87244,                0.87998,                0.88389,                0.92424,                0.75361,                 0.6474,                0.52276,                0.97625,              0.0090843,              0.0090843,              0.0090843
                     39,                0.49972,                0.36393,                 0.8697,                0.83444,                0.87678,                0.90969,                0.75217,                0.65318,                0.54649,                0.98391,              0.0090595,              0.0090595,              0.0090595
                     40,                0.49073,                0.35796,                0.86735,                0.87088,                0.83108,                0.89661,                0.72758,                0.65925,                0.55907,                0.99772,              0.0090347,              0.0090347,              0.0090347
                     41,                0.48466,                 0.3568,                0.86164,                0.88198,                 0.8128,                0.90669,                 0.7571,                0.64432,                0.56613,                0.99532,                0.00901,                0.00901,                0.00901
                     42,                0.47928,                0.35882,                0.86941,                0.88126,                 0.8442,                0.91966,                0.74564,                0.66741,                0.54697,                 1.0151,              0.0089853,              0.0089853,              0.0089853
                     43,                0.48284,                0.35425,                0.86037,                0.87134,                0.84597,                0.89923,                0.74089,                0.66042,                0.55662,                 1.0079,              0.0089605,              0.0089605,              0.0089605
                     44,                0.48122,                0.36101,                0.86664,                0.83684,                0.86256,                0.88861,                0.73131,                0.66906,                0.56467,                 1.0301,              0.0089358,              0.0089358,              0.0089358
                     45,                0.48654,                0.35535,                0.86801,                0.88126,                0.84415,                0.88313,                0.72388,                0.67724,                0.59005,                 1.0173,               0.008911,               0.008911,               0.008911
                     46,                0.47639,                0.35001,                0.86926,                0.84504,                0.84597,                0.88089,                0.70905,                0.70296,                0.59752,                 1.0295,              0.0088863,              0.0088863,              0.0088863
                     47,                0.47973,                 0.3649,                 0.8648,                 0.8962,                0.83886,                0.90684,                0.72937,                0.68017,                0.56598,                 1.0115,              0.0088615,              0.0088615,              0.0088615
                     48,                0.46182,                0.35245,                0.86138,                0.88274,                0.90047,                0.91785,                0.74876,                 0.6503,                0.51443,                 1.0033,              0.0088368,              0.0088368,              0.0088368
                     49,                 0.4673,                0.34973,                0.86327,                0.84692,                  0.891,                0.91116,                0.74295,                0.66869,                 0.5431,                 1.0145,               0.008812,               0.008812,               0.008812
                     50,                0.46104,                0.35224,                0.86252,                0.85821,                0.87915,                0.92454,                0.73691,                0.67351,                0.53011,                 1.0206,              0.0087872,              0.0087872,              0.0087872
                     51,                0.46721,                0.34296,                0.86414,                0.86745,                0.87204,                 0.9216,                0.76085,                 0.6591,                 0.5242,                0.99981,              0.0087625,              0.0087625,              0.0087625
                     52,                0.45871,                0.34091,                0.86284,                0.86257,                0.87915,                0.91439,                0.74964,                0.68333,                0.53609,                 1.0375,              0.0087378,              0.0087378,              0.0087378
                     53,                0.45926,                0.32851,                 0.8533,                0.84812,                0.86012,                 0.9048,                0.75118,                0.66278,                0.56679,                 1.0197,               0.008713,               0.008713,               0.008713
                     54,                0.45448,                0.33805,                0.85918,                0.83866,                0.87457,                0.90202,                0.74008,                0.65937,                0.56223,                 1.0238,              0.0086882,              0.0086882,              0.0086882
                     55,                0.44982,                0.32977,                0.85889,                0.89121,                0.85545,                0.91952,                0.73724,                0.66933,                0.51275,                 1.0118,              0.0086635,              0.0086635,              0.0086635
                     56,                0.45038,                 0.3324,                0.85711,                0.88199,                0.87441,                0.90919,                0.74432,                0.67894,                0.52294,                 1.0293,              0.0086388,              0.0086388,              0.0086388
                     57,                0.44841,                0.33525,                0.85605,                0.89574,                0.85511,                0.90592,                0.74362,                0.67766,                0.53654,                 1.0267,               0.008614,               0.008614,               0.008614
                     58,                0.44397,                0.32459,                0.85361,                0.87987,                0.85545,                0.89431,                0.73883,                0.64503,                0.53395,                 1.0086,              0.0085893,              0.0085893,              0.0085893
                     59,                0.44518,                0.32805,                0.86079,                0.86476,                0.84834,                0.89285,                0.73886,                0.64803,                0.54559,                 1.0245,              0.0085645,              0.0085645,              0.0085645
                     60,                 0.4501,                0.33027,                0.85779,                0.85094,                0.85226,                0.88423,                0.71727,                0.66542,                0.53958,                 1.0232,              0.0085398,              0.0085398,              0.0085398
                     61,                0.44104,                0.32609,                0.85414,                0.85447,                0.85308,                0.90026,                0.73281,                0.66013,                0.53634,                 1.0111,               0.008515,               0.008515,               0.008515
                     62,                0.45818,                0.33181,                0.85903,                0.84498,                0.90047,                0.91977,                 0.7561,                0.66297,                0.52128,                 0.9979,              0.0084903,              0.0084903,              0.0084903
                     63,                0.45622,                0.32629,                0.85891,                0.86434,                0.87915,                0.91726,                0.75203,                0.65504,                0.51562,                0.99146,              0.0084655,              0.0084655,              0.0084655
                     64,                  0.439,                0.32579,                0.85545,                0.87674,                0.87441,                0.91368,                0.75285,                0.65711,                0.54435,                0.99761,              0.0084408,              0.0084408,              0.0084408
                     65,                0.44394,                0.33345,                0.85472,                0.84461,                0.86967,                0.89553,                0.73229,                0.67197,                  0.538,                 1.0147,               0.008416,               0.008416,               0.008416
                     66,                0.44083,                0.32078,                0.85864,                0.86132,                0.86493,                0.90393,                0.74533,                0.64014,                0.52651,                 1.0032,              0.0083913,              0.0083913,              0.0083913
                     67,                0.44259,                0.31766,                 0.8504,                0.84914,                0.88863,                0.91574,                0.75168,                0.64485,                0.50194,                 1.0119,              0.0083665,              0.0083665,              0.0083665
                     68,                 0.4323,                0.32333,                0.84989,                0.89321,                0.84597,                0.91868,                0.75103,                0.63997,                0.50885,                0.98594,              0.0083418,              0.0083418,              0.0083418
                     69,                 0.4281,                0.31171,                0.85653,                0.88103,                0.87741,                0.92297,                0.76079,                0.64502,                0.50569,                 1.0115,               0.008317,               0.008317,               0.008317
                     70,                0.42188,                0.30285,                 0.8453,                0.88592,                0.85071,                 0.8999,                0.72839,                0.67202,                0.52181,                 1.0328,              0.0082922,              0.0082922,              0.0082922
                     71,                0.42383,                 0.3079,                0.84987,                0.87116,                0.87915,                0.91668,                 0.7471,                0.64769,                0.50198,                 1.0109,              0.0082675,              0.0082675,              0.0082675
                     72,                0.41865,                0.30563,                0.84723,                0.87306,                0.86378,                0.91865,                0.75612,                0.66522,                0.48643,                 1.0103,              0.0082428,              0.0082428,              0.0082428
                     73,                0.42137,                0.31202,                0.85091,                0.87979,                0.86714,                0.90904,                0.74174,                0.63996,                0.46447,                0.99695,               0.008218,               0.008218,               0.008218
                     74,                0.42267,                0.30684,                0.84759,                0.87643,                 0.8673,                0.90844,                0.74061,                0.66623,                0.46701,                 1.0206,              0.0081932,              0.0081932,              0.0081932
                     75,                0.40876,                 0.3067,                 0.8486,                0.86756,                0.88626,                0.90756,                0.74363,                 0.6508,                0.48816,                 1.0051,              0.0081685,              0.0081685,              0.0081685
                     76,                0.40596,                0.30026,                 0.8405,                0.87686,                0.87441,                0.91043,                0.74649,                0.64954,                0.48094,                 1.0013,              0.0081437,              0.0081437,              0.0081437
                     77,                0.41423,                0.31208,                0.84342,                0.88348,                0.85308,                0.91322,                0.75242,                0.66856,                 0.4805,                 1.0077,               0.008119,               0.008119,               0.008119
                     78,                0.41758,                0.30613,                0.84816,                0.87957,                0.84806,                0.89187,                0.73262,                0.66725,                0.50149,                 1.0248,              0.0080942,              0.0080942,              0.0080942
                     79,                0.41132,                0.30016,                0.84147,                0.85313,                0.88094,                0.90074,                0.72439,                0.66258,                0.51526,                 1.0151,              0.0080695,              0.0080695,              0.0080695
                     80,                0.40829,                0.30106,                0.84564,                 0.8182,                  0.891,                 0.9047,                0.75672,                0.64365,                0.49696,                0.99218,              0.0080447,              0.0080447,              0.0080447
                     81,                0.41125,                0.30869,                0.84859,                0.85767,                0.85071,                0.90302,                0.73924,                0.65182,                0.53243,                0.98623,                0.00802,                0.00802,                0.00802
                     82,                0.41033,                0.30182,                0.84611,                0.84181,                0.85782,                0.89189,                0.74115,                0.67109,                0.53747,                 1.0121,              0.0079953,              0.0079953,              0.0079953
                     83,                0.41354,                0.29929,                 0.8424,                0.84523,                0.84118,                0.88448,                0.73076,                0.69841,                0.57615,                 1.0604,              0.0079705,              0.0079705,              0.0079705
                     84,                0.40237,                0.29796,                0.83601,                0.83195,                 0.8981,                0.91566,                0.74907,                0.67238,                0.51526,                 1.0201,              0.0079457,              0.0079457,              0.0079457
                     85,                 0.3911,                0.29659,                0.84446,                0.89426,                0.86178,                0.91438,                0.74463,                 0.6719,                0.49709,                 1.0102,               0.007921,               0.007921,               0.007921
                     86,                0.39489,                   0.29,                0.83968,                0.88991,                0.86197,                0.91185,                0.75864,                0.64134,                0.49257,                 1.0069,              0.0078963,              0.0078963,              0.0078963
                     87,                0.40456,                0.29667,                0.84707,                0.86197,                0.84347,                0.90006,                0.75675,                0.63617,                0.50801,                0.99153,              0.0078715,              0.0078715,              0.0078715
                     88,                 0.3947,                0.29137,                0.83899,                0.87628,                0.84123,                0.89712,                0.74964,                0.63018,                0.49959,                0.99708,              0.0078467,              0.0078467,              0.0078467
                     89,                0.39279,                0.29493,                0.83787,                0.88873,                0.85167,                0.89944,                0.74665,                0.62769,                0.49194,                0.98922,               0.007822,               0.007822,               0.007822
                     90,                0.39072,                0.28173,                0.84097,                0.87725,                0.84679,                0.90806,                0.75226,                0.64652,                0.50117,                 1.0066,              0.0077973,              0.0077973,              0.0077973
                     91,                0.38805,                0.28304,                0.83639,                0.86974,                0.86256,                 0.9068,                0.74793,                0.65502,                0.48309,                 1.0197,              0.0077725,              0.0077725,              0.0077725
                     92,                0.38172,                0.28259,                 0.8421,                0.85902,                0.87204,                0.90671,                0.75788,                0.65711,                0.48755,                 1.0039,              0.0077478,              0.0077478,              0.0077478
                     93,                0.38335,                0.28596,                0.83738,                0.89796,                0.87441,                 0.9095,                0.75755,                0.61716,                0.47388,                0.98795,               0.007723,               0.007723,               0.007723
                     94,                0.38438,                 0.2876,                0.83932,                 0.8641,                0.87386,                0.90184,                0.76118,                0.61422,                0.47667,                0.98706,              0.0076983,              0.0076983,              0.0076983
                     95,                0.39087,                0.28274,                0.83575,                0.87702,                0.84497,                0.90037,                0.76186,                 0.6121,                0.51692,                0.98311,              0.0076735,              0.0076735,              0.0076735
                     96,                0.39629,                0.29113,                0.84112,                0.88276,                0.83886,                0.90357,                0.75227,                0.64787,                0.54441,                0.99513,              0.0076488,              0.0076488,              0.0076488
                     97,                0.39526,                0.28942,                 0.8424,                0.90042,                0.85071,                0.91094,                0.75245,                0.65839,                0.53099,                0.99892,               0.007624,               0.007624,               0.007624
                     98,                0.37262,                0.27695,                0.83427,                0.90543,                0.86212,                0.91508,                 0.7494,                0.66369,                0.49696,                 1.0097,              0.0075993,              0.0075993,              0.0075993
                     99,                0.37822,                 0.2816,                0.83537,                 0.8905,                0.84834,                0.91055,                0.77025,                0.63699,                0.48631,                 1.0043,              0.0075745,              0.0075745,              0.0075745
                    100,                0.37725,                 0.2847,                0.83696,                0.89037,                0.82464,                0.90017,                0.76032,                0.62972,                0.48637,                0.99859,              0.0075498,              0.0075498,              0.0075498
                    101,                 0.3725,                0.28083,                0.83911,                0.86828,                0.85308,                 0.9094,                0.75993,                0.63487,                0.46803,                  1.001,               0.007525,               0.007525,               0.007525
                    102,                0.37838,                0.28292,                0.83463,                0.86587,                0.86256,                0.90998,                 0.7667,                0.64395,                0.49828,                 1.0202,              0.0075003,              0.0075003,              0.0075003
                    103,                0.37817,                0.28412,                0.82974,                 0.8431,                0.84123,                0.88632,                0.73114,                0.68511,                0.54045,                 1.0365,              0.0074755,              0.0074755,              0.0074755
                    104,                0.37639,                0.27954,                 0.8324,                0.83332,                0.86485,                0.90424,                0.75345,                0.66902,                0.53501,                 1.0275,              0.0074507,              0.0074507,              0.0074507
                    105,                0.38386,                0.28311,                0.83777,                0.87492,                0.82875,                0.89946,                0.75845,                0.66477,                0.54879,                 1.0089,               0.007426,               0.007426,               0.007426
                    106,                0.36574,                0.27687,                0.83126,                0.89352,                 0.8673,                0.92451,                0.78101,                0.62996,                0.51113,                0.98176,              0.0074013,              0.0074013,              0.0074013
                    107,                 0.3921,                0.28224,                0.83286,                0.87692,                0.89482,                0.92712,                0.78603,                0.63359,                 0.4735,                0.99153,              0.0073765,              0.0073765,              0.0073765
                    108,                0.37539,                0.28116,                0.83611,                0.88032,                0.85545,                0.91257,                0.76871,                0.63494,                0.49478,                0.99454,              0.0073517,              0.0073517,              0.0073517
                    109,                0.36602,                0.27361,                0.83698,                0.84798,                 0.8981,                0.91083,                0.77344,                0.63141,                0.48682,                0.99928,               0.007327,               0.007327,               0.007327
                    110,                0.36867,                0.27887,                0.83538,                0.87087,                0.85545,                0.91403,                0.77327,                 0.6395,                0.51443,                 1.0171,              0.0073023,              0.0073023,              0.0073023
                    111,                0.37165,                0.27166,                0.82926,                0.84328,                0.88626,                0.92006,                0.78509,                 0.6277,                0.47009,                 1.0054,              0.0072775,              0.0072775,              0.0072775
                    112,                0.35921,                0.26892,                0.83735,                0.87937,                0.88096,                0.92622,                 0.7857,                0.63575,                 0.4754,                0.99187,              0.0072527,              0.0072527,              0.0072527
                    113,                0.37441,                0.28087,                0.83883,                0.85163,                0.89573,                 0.9159,                 0.7596,                0.65815,                0.47079,                 1.0116,               0.007228,               0.007228,               0.007228
                    114,                0.37189,                0.27304,                0.83553,                0.87076,                 0.8673,                0.91526,                0.76141,                0.65981,                  0.477,                 1.0194,              0.0072033,              0.0072033,              0.0072033
                    115,                 0.3653,                0.27417,                 0.8379,                0.88146,                0.86967,                0.91485,                 0.7615,                0.63498,                  0.473,                 1.0212,              0.0071785,              0.0071785,              0.0071785
                    116,                0.36095,                0.27351,                0.83372,                 0.8854,                0.88389,                 0.9145,                0.75261,                0.64329,                 0.4735,                 1.0106,              0.0071538,              0.0071538,              0.0071538
                    117,                0.36593,                0.27026,                0.83572,                0.86428,                0.88152,                 0.9115,                0.76181,                0.63422,                0.47956,                 1.0021,               0.007129,               0.007129,               0.007129
                    118,                0.36158,                0.27168,                0.83428,                 0.9174,                0.84123,                0.91579,                0.78085,                0.62147,                0.47694,                0.99201,              0.0071042,              0.0071042,              0.0071042
                    119,                0.35099,                0.25997,                0.82663,                0.84825,                0.89573,                0.91912,                0.77206,                0.63318,                0.44088,                0.99124,              0.0070795,              0.0070795,              0.0070795
                    120,                0.36715,                0.26944,                0.83522,                 0.8507,                0.90466,                0.92088,                0.77812,                0.63486,                0.44689,                0.99312,              0.0070547,              0.0070547,              0.0070547
                    121,                0.35677,                0.26227,                0.82925,                0.89166,                0.85813,                 0.9172,                 0.7666,                0.66588,                 0.4585,                 1.0003,                0.00703,                0.00703,                0.00703
                    122,                0.35835,                0.26732,                0.82972,                0.91743,                0.84249,                0.92332,                0.77114,                0.63628,                 0.4596,                0.99218,              0.0070053,              0.0070053,              0.0070053
                    123,                0.36333,                0.26908,                0.82807,                0.89509,                0.86941,                0.92512,                0.77159,                 0.6225,                0.45515,                0.99326,              0.0069805,              0.0069805,              0.0069805
                    124,                0.35132,                0.26047,                0.83024,                0.90994,                0.83794,                0.92943,                0.77805,                0.63457,                 0.4607,                 0.9955,              0.0069558,              0.0069558,              0.0069558
                    125,                0.35394,                0.26722,                0.83352,                0.92284,                0.83175,                0.90859,                0.76299,                0.64109,                 0.4676,                 1.0028,               0.006931,               0.006931,               0.006931
                    126,                0.35304,                0.26593,                0.83144,                0.83356,                0.87678,                0.90741,                0.75763,                0.66415,                0.48788,                 1.0137,              0.0069063,              0.0069063,              0.0069063
                    127,                0.36119,                0.26912,                0.82708,                0.84887,                0.90521,                0.92089,                0.75012,                0.67826,                0.47348,                 1.0208,              0.0068815,              0.0068815,              0.0068815
                    128,                0.34841,                0.26492,                 0.8345,                0.87323,                0.89776,                0.92963,                0.77074,                0.66079,                0.44013,                 1.0158,              0.0068568,              0.0068568,              0.0068568
                    129,                0.34583,                0.26377,                 0.8262,                0.87798,                0.87915,                0.92568,                0.77752,                  0.652,                0.42526,                 1.0175,               0.006832,               0.006832,               0.006832
                    130,                0.34464,                0.25806,                0.83069,                0.89865,                0.86147,                0.92626,                0.77612,                0.63888,                0.43695,                0.99672,              0.0068073,              0.0068073,              0.0068073
                    131,                0.34147,                0.25621,                0.82528,                 0.8845,                 0.8436,                0.91552,                0.76482,                0.63758,                0.45279,                0.99257,              0.0067825,              0.0067825,              0.0067825
                    132,                 0.3405,                0.25118,                0.82565,                0.89441,                 0.8436,                 0.9127,                0.77123,                0.64335,                0.44048,                 1.0162,              0.0067577,              0.0067577,              0.0067577
                    133,                0.33598,                0.25179,                0.83056,                0.88496,                0.85673,                0.92067,                0.78365,                0.61968,                0.43553,                0.99286,               0.006733,               0.006733,               0.006733
                    134,                0.33902,                0.25472,                0.82835,                0.90151,                0.83649,                0.91616,                0.77786,                0.63612,                0.46067,                0.99527,              0.0067082,              0.0067082,              0.0067082
                    135,                0.34445,                0.26043,                0.82833,                0.89038,                0.87441,                0.92747,                0.78215,                0.62457,                0.43496,                0.98627,              0.0066835,              0.0066835,              0.0066835
                    136,                0.33906,                0.25474,                 0.8278,                0.87419,                 0.8727,                0.91929,                0.77716,                0.63214,                0.44785,                0.98952,              0.0066587,              0.0066587,              0.0066587
